name,tier,id,family id,author,rarity,element,attack type,attack range,attack cd,dmg min,dmg max,mana,mana regen,cost,description,required element level,required wave level,icon atlas num,release
Young Northern Troll,1,249,249,DaveMatthews,rare,ice,elemental,800,2,1933,1933,0,0,900,"Wanders in the cold northern lands, looking for preys.",6,34,,0
Adult Northern Troll,2,250,249,DaveMatthews,rare,ice,elemental,800,2,3697,3697,0,0,1900,"Wanders in the cold northern lands, looking for preys.",10,52,,0
Elder Northern Troll,3,251,249,DaveMatthews,rare,ice,elemental,800,2,5459,5459,0,0,3000,"Wanders in the cold northern lands, looking for preys.",13,66,,0
Valor,1,262,262,cedi,unique,iron,physical,0,0,0,0,0,0,3000,A truly inspiring sight.,13,66,,0
Sea Turtle,1,282,282,i_m0ck_death,rare,ice,energy,900,0.8,1,1,0,0,1000,Become one with water. Become a turtle.,6,36,,0
Freezing Sea Turtle,2,283,282,i_m0ck_death,rare,ice,energy,900,0.8,1,1,0,0,2000,Become one with water. Become a turtle.,10,53,,0
Glacial Sea Turtle,3,284,282,i_m0ck_death,rare,ice,energy,900,0.8,1,1,0,0,3000,Become one with water. Become a turtle.,13,66,,0
Chilled Spire,1,304,304,SirCoqalot.,rare,ice,elemental,1100,1.4,801,801,0,0,800,"Advanced frost tower that will freeze attacked creeps, stunning them and reducing their health regeneration.",5,31,,0
Icy Spires,2,323,304,SirCoqalot.,rare,ice,elemental,1100,1.4,2402,2402,0,0,2400,"Advanced frost tower that will freeze attacked creeps, stunning them and reducing their health regeneration.",11,59,,0
Ymir,1,372,372,IamanEvilMan,unique,ice,elemental,900,1.5,2300,2300,0,0,3800,"From the flesh of Ymir, king of the Jötanr, gods fashioned the mortal realms. Born of venom dripped into the frozen waters of Elivágar, Ymir was exiled to the lonely wastes of Ginnungagap where he mastered Icy powers.",15,75,,0
Goblin Stronghold,1,373,373,cedi,unique,iron,physical,800,0.8,897,906,0,0,2500,"You should always consider goblin-made items to be a nuclear weapon with a faulty trigger, you just might live to see another day.",12,60,,0
The Steam Engine,1,391,391,Glowackos/cedi,unique,iron,physical,0,0,0,0,1000,10,4000,One of the greatest inventions of the dwarves.,15,77,,0
Glaive Master,1,435,435,Ashbringer,unique,iron,physical,2400,1.4,1855,1855,0,0,3600,"Eviscerate them all, make them bleed.",15,73,,0
Ebonfrost Crystal,1,437,437,Ashbringer,unique,ice,elemental,1000,1.6,1960,1960,0,0,3600,A pristine crystal atop a pillar of black frost.,15,73,,0
The Frozen Wyrm,1,444,444,MasterCassim,unique,ice,elemental,850,2.75,4921,4930,0,0,2600,Unique frost tower with strong slowing abilities.,12,61,,0
Dwarven Forgery,1,469,469,geX,unique,iron,physical,675,2.5,4225,4825,0,0,1500,"Hidden in the mountains, the dwarven master smiths polish found items to release their true power.",8,45,,0
Sapphiron's Cold Grave,1,526,526,cedi,unique,ice,elemental,1500,4,1,1,0,0,4000,"Sapphiron died a long time ago, but his bones do still carry an unbelievable power.",15,77,,0
Coin Machine,1,556,556,Boekie,rare,iron,physical,1200,2.5,2955,2955,0,0,1700,This machine is used to make money.,9,49,,0
Gold Machine,2,557,556,Boekie,rare,iron,physical,1200,2.5,4867,4867,0,0,2800,This machine is used to make money.,13,64,,0
Icy Core,1,562,562,geX,rare,ice,elemental,1000,1.5,974,1138,0,0,1000,Aura Tower with a frost slow aura,6,36,,0
Icy Flower,2,543,562,geX,rare,ice,elemental,1000,1.5,3275,3769,0,0,3000,Superior Aura Tower with a strong frost slow aura,13,66,,0
Nuclear Missile Launcher,1,596,596,Matac,unique,iron,essence,2400,10,17777,17778,0,0,3400,Pure manmade destruction.,14,71,,0
Lich King,1,649,649,Natac,unique,ice,elemental,800,1.4,2197,2296,0,0,2500,The frozen king of all ice and snow.,12,60,,0
