id,display name,short name,tier,req level,script name,icon,description
10,Spirit Warden,spirit_warden,advanced,5,builder_spirit_warden,res://Resources/Icons/faces/sleeping_leaf_spirit.tres,"The warden protects his clan from evil forces and supports it with his ceremonials.
 
Tier: [color=ORANGE]Advanced[/color]
 
[color=GOLD]PROs:[/color]
[color=GREEN]-30% debuff duration[/color]
[color=GREEN]+80% buff duration[/color]
[color=GREEN]+10% damage to masses[/color]
 
[color=GOLD]CONS:[/color]
[color=RED]-10% damage to bosses[/color]
"
11,Master of Encyclopedic Wisdom,master,advanced,5,builder_master_of_encyclopedic_wisdom,res://Resources/Icons/TowerIcons/BonktheLivingMountain.tres,"Whatever you have a question, ask Waterknight!
 
Tier: [color=ORANGE]Advanced[/color]
 
[color=GOLD]PROs:[/color]
[color=GREEN]Towers start at level 5[/color]
[color=GREEN]+60% experience gain[/color]
[color=GREEN]+1% experience gain per tower level[/color]
 
[color=GOLD]CONS:[/color]
[color=RED]-15% base damage[/color]
"
12,Feeble Fender,fender,specialist,10,builder_feeble_fender,res://Resources/Icons/TowerIcons/Phantom.tres,"His head holds a battle between senile marasmus and memory. Some say he's only here because his wise twin brother got him the job. He's also really bad with money.
 
Tier: [color=RED]Specialist[/color]
 
[color=GOLD]PROs:[/color]
[color=GREEN]+50% damage against undead creeps[/color]
[color=GREEN]+30% damage against orc creeps[/color]
[color=GREEN]+50% damage against masses[/color]
[color=GREEN]+25% wisdom upgrade strength[/color]
 
[color=GOLD]CONS:[/color]
[color=RED]-30% damage against magical creeps[/color]
[color=RED]-45 starting knowledge tomes[/color]
[color=RED]-20% income rate[/color]
"
13,Realist,realist,specialist,10,builder_realist,res://Resources/Icons/TowerIcons/ArcaneStorm.tres,"Take a chance!
- Never!
 
Tier: [color=RED]Specialist[/color]
 
[color=GOLD]PROs:[/color]
[color=GREEN]+15% base damage[/color]
[color=GREEN]+1.5% base damage per tower level[/color]
[color=GREEN]+15% spell damage[/color]
[color=GREEN]+1.5% spell damage per tower level[/color]
[color=GREEN]+150% mana regeneration[/color]
 
[color=GOLD]CONS:[/color]
[color=RED]-50% trigger chances[/color]
[color=RED]-20% critical strike chances[/color]
[color=RED]-20% spell critical strike chances[/color]
"
14,Arch Sorceress,arch_sorceress,specialist,10,builder_arch_sorceress,res://Resources/Icons/TowerIcons/Sorceress.tres,"The mistress of spells, however not too dexterous at common warfare.
 
Tier: [color=RED]Specialist[/color]
 
[color=GOLD]PROs:[/color]
[color=GREEN]+50% spell damage[/color]
[color=GREEN]+20% spell critical strike chance[/color]
[color=GREEN]+50% spell critical strike damage[/color]
[color=GREEN]+2% spell critical strike damage per tower level[/color]
[color=GREEN]+1% damage against magical creeps per tower level[/color]
 
[color=GOLD]CONS:[/color]
[color=RED]-10% base damage[/color]
[color=RED]-1.2% base damage per tower level[/color]
"
15,Barbarian Warlord,barbarian,specialist,10,builder_barbarian_warlord,res://Resources/Icons/faces/orc_02.tres,"Magic is for the weak!
 
Tier: [color=RED]Specialist[/color]
 
[color=GOLD]PROs:[/color]
[color=GREEN]+10% attack speed[/color]
[color=GREEN]+35% base damage[/color]
[color=GREEN]+0.4% critical strike chance per tower level[/color]
[color=GREEN]+2% critical strike damage per tower level[/color]
[color=GREEN]+2 multicrit[/color]
 
[color=GOLD]CONS:[/color]
[color=RED]-300% mana regeneration[/color]
[color=RED]-100% spell damage[/color]
"
16,Pandaren Monk,pandaren,specialist,10,builder_pandaren_monk,res://Resources/Icons/TowerIcons/PolarBearCub.tres,"Brother Pandarius donates his treasures to the poor, in exchange for beer, of course.
 
Tier: [color=RED]Specialist[/color]
 
[color=GOLD]PROs:[/color]
[color=GREEN]+25% attack speed[/color]
[color=GREEN]+15% base damage[/color]
[color=GREEN]+1.4% base damage per tower level[/color]
[color=GREEN]+20% spell damage[/color]
[color=GREEN]+1.2% spell damage per tower level[/color]
[color=GREEN]+1.2% item chance per tower level[/color]
 
[color=GOLD]CONS:[/color]
[color=RED]-60% item chance[/color]
[color=RED]-10% item quality[/color]
"
17,Naga Time Twister,naga,specialist,10,builder_naga_time_twister,res://Resources/Icons/TowerIcons/ForestProtectress.tres,"Lady Nyshij twists the time itself, granting improved chances and speed to her followers.
 
Tier: [color=RED]Specialist[/color]
 
[color=GOLD]PROs:[/color]
[color=GREEN]+40% trigger chances[/color]
[color=GREEN]+30% attack speed[/color]
 
[color=GOLD]CONS:[/color]
[color=RED]-25% base damage[/color]
[color=RED]-25% spell damage[/color]
"
18,Goblin Alchemist,goblin,specialist,10,builder_goblin_alchemist,res://Resources/Icons/TowerIcons/ThiefApprentice.tres,"The Goblin Alchemist is driven solely by his extreme lust for wealth. Oftentimes this leaves him quite lacking in the combat department.
 
Tier: [color=RED]Specialist[/color]
 
[color=GOLD]PROs:[/color]
[color=GREEN]+20% bounty from kills[/color]
[color=GREEN]+15% income rate[/color]
[color=GREEN]+2% interest rate[/color]
[color=GREEN]+35% item quality[/color]
[color=GREEN]+2% item quality per tower level[/color]
 
[color=GOLD]CONS:[/color]
[color=RED]-35% buff duration[/color]
[color=RED]-35% debuff duration[/color]
[color=RED]-15% attack speed[/color]
"
19,Backpacker,backpacker,specialist,10,builder_backpacker,res://Resources/Icons/TowerIcons/YoungNorthernTroll.tres,"This creature has more pockets than candles! Having picked up all kinds of relics from its many journeys, it keeps them sorted fastidiously.
 
Tier: [color=RED]Specialist[/color]
 
[color=GOLD]PROs:[/color]
[color=GREEN]+2 item slots[/color]
[color=GREEN]3 extra cibe recipes[/color]
[color=GREEN]+40% item quality[/color]
 
[color=GOLD]CONS:[/color]
[color=RED]Towers can only wield items that match their rarity or Unique items.[/color]
"
20,Maverick,maverick,hardcore,20,builder_maverick,res://Resources/Icons/TowerIcons/TheCouncilofDemons.tres,"You want it done right? Do it yourself. Especially when it comes to leaving a trail of flaming footsteps in the air.
 
Tier: [color=PURPLE]Hardcore[/color]
 
[color=GOLD]PROs:[/color]
[color=GREEN]+50% damage to bosses[/color]
[color=GREEN]+25% damage to champions[/color]
[color=GREEN]-30% debuff duration[/color]
[color=GREEN]+1% item chance per tower level[/color]
[color=GREEN]+3% base damage per tower level[/color]
[color=GREEN]+3% spell damage per tower level[/color]
 
[color=GOLD]CONS:[/color]
[color=RED]-20 starting food[/color]
[color=RED]-50% buff duration[/color]
[color=RED]-37.5% wisdom upgrade strength[/color]
[color=RED]Towers cannot be built adjacent to other towers[/color]
"
21,Antagonizer,antagonizer,hardcore,20,builder_antagonizer,res://Resources/Icons/TowerIcons/WildKodoBeast.tres,"Butch doesn't learn quickly, but what he lacks in intellect, he makes up for with oversized muscles and steroid abuse.
 
Tier: [color=PURPLE]Hardcore[/color]
 
[color=GOLD]PROs:[/color]
[color=GREEN]+10% base damage[/color]
[color=GREEN]+4% base damage per tower level[/color]
[color=GREEN]+10% attack speed[/color]
[color=GREEN]+0.5% attack speed per tower level[/color]
[color=GREEN]+25% spell damage[/color]
 
[color=GOLD]CONS:[/color]
[color=RED]-60% experience gain[/color]
[color=RED]-1.6% experience gain per tower level[/color]
[color=RED]-16% trigger chances[/color]
"
